LoanAccountId,BalanceDateId,Balance,BalanceSek
2,2023-06-04,2759169.0,3113487687.0
2,2023-06-05,2759169.0,3113487687.0
2,2023-06-06,2759169.0,3113487687.0
2,2023-06-07,2759169.0,3113487687.0
2,2023-06-08,2759169.0,3113487687.0
2,2023-06-15,2759169.0,3113487687.0
2,2023-06-16,2759169.0,3113487687.0
2,2023-06-17,2759169.0,3113487687.0
2,2023-06-18,2759169.0,3113487687.0
2,2023-06-19,0.0,0.0
2,2023-11-27,335143.0,3781803884.0
2,2024-02-06,3314111.0,3739692564.0
2,2024-03-30,3837155.0,4329903259.0
2,2024-05-12,3783451.0,426930286.0
5,2023-06-04,3073219.0,3467866418.0
5,2023-06-05,3073219.0,3467866418.0
5,2023-06-06,3073219.0,3467866418.0
5,2023-06-07,3073219.0,3467866418.0
5,2023-06-08,3073219.0,3467866418.0
5,2023-06-15,3073219.0,3467866418.0
5,2023-06-16,3073219.0,3467866418.0
5,2023-06-17,3073219.0,3467866418.0
5,2023-06-18,3073219.0,3467866418.0
5,2023-06-19,0.0,0.0
5,2023-11-27,3002414.0,3387968994.0
5,2024-02-06,2969601.0,3350942312.0
5,2024-03-30,2954556.0,3333965309.0
5,2024-05-12,2825662.0,3188519386.0
6,2023-06-04,3139443.0,3542594573.0
6,2023-06-05,3139443.0,3542594573.0
6,2023-06-06,3139443.0,3542594573.0
6,2023-06-07,3139443.0,3542594573.0
6,2023-06-08,3139443.0,3542594573.0
6,2023-06-15,3139443.0,3542594573.0
6,2023-06-16,3139443.0,3542594573.0
6,2023-06-17,3139443.0,3542594573.0
6,2023-06-18,3139443.0,3542594573.0
6,2023-06-19,0.0,0.0
6,2023-11-27,3117968.0,3518361861.0
6,2024-02-06,3205747.0,3617413001.0
6,2024-03-30,3079314.0,3474744107.0
6,2024-05-12,3035851.0,3425699806.0
7,2023-06-04,3941555.0,4447709785.0
7,2023-06-05,3941555.0,4447709785.0
7,2023-06-06,3941555.0,4447709785.0
7,2023-06-07,3941555.0,4447709785.0
7,2023-06-08,3941555.0,4447709785.0
7,2023-06-15,3941555.0,4447709785.0
7,2023-06-16,3941555.0,4447709785.0
7,2023-06-17,3941555.0,4447709785.0
7,2023-06-18,3941555.0,4447709785.0
7,2023-06-19,0.0,0.0
7,2023-11-27,3932175.0,4437125253.0
7,2024-02-06,3969926.0,4479724047.0
7,2024-03-30,3908456.0,4410360377.0
7,2024-05-12,385666.0,4351912994.0
8,2023-06-04,1293729.0,145986321.0
8,2023-06-05,1293729.0,145986321.0
8,2023-06-06,1293729.0,145986321.0
8,2023-06-07,1293729.0,145986321.0
8,2023-06-08,1293729.0,145986321.0
