night_id,resident_id,resident_profile,date,period,datetime,hour,alarm_type,triggered_by,alarm_duration_s,silenced_within_30s,response_min,awoke_resident
1,3,restless_1,2026-01-01,Baseline,2026-01-02 04:23:00,4,actual,actual_bed_exit,432,0,3.3,1
1,2,night_waker,2026-01-01,Baseline,2026-01-02 04:59:00,4,actual,actual_bed_exit,208,0,4.5,1
1,2,night_waker,2026-01-01,Baseline,2026-01-02 01:58:00,1,actual,actual_bed_exit,311,0,3.2,1
1,2,night_waker,2026-01-01,Baseline,2026-01-02 00:50:00,0,actual,actual_bed_exit,303,0,7.9,1
1,3,restless_1,2026-01-01,Baseline,2026-01-02 03:17:00,3,false_positive,blanket_adjustment,28,1,4.4,1
1,4,restless_2,2026-01-01,Baseline,2026-01-02 00:46:00,0,false_positive,turning_in_bed,22,1,3.1,1
1,2,night_waker,2026-01-01,Baseline,2026-01-01 23:03:00,23,false_positive,drinking_water,12,1,2.8,1
1,4,restless_2,2026-01-01,Baseline,2026-01-01 23:33:00,23,false_positive,staff_passing,14,1,4.2,1
1,3,restless_1,2026-01-01,Baseline,2026-01-02 00:39:00,0,false_positive,blanket_adjustment,26,1,3.6,1
1,4,restless_2,2026-01-01,Baseline,2026-01-02 02:44:00,2,false_positive,staff_passing,8,1,3.8,0
1,2,night_waker,2026-01-01,Baseline,2026-01-02 05:23:00,5,false_positive,scratching,5,1,1.7,1
1,4,restless_2,2026-01-01,Baseline,2026-01-02 03:57:00,3,false_positive,blanket_adjustment,7,1,4.0,1
1,3,restless_1,2026-01-01,Baseline,2026-01-02 00:23:00,0,false_positive,turning_in_bed,21,1,3.1,0
1,4,restless_2,2026-01-01,Baseline,2026-01-02 02:02:00,2,false_positive,drinking_water,24,1,3.0,1
1,3,restless_1,2026-01-01,Baseline,2026-01-02 01:41:00,1,false_positive,drinking_water,15,1,1.7,1
1,4,restless_2,2026-01-01,Baseline,2026-01-02 01:36:00,1,false_positive,blanket_adjustment,11,1,2.4,1
1,3,restless_1,2026-01-01,Baseline,2026-01-02 00:21:00,0,false_positive,turning_in_bed,27,1,3.2,0
2,2,night_waker,2026-01-02,Baseline,2026-01-03 04:54:00,4,actual,actual_bed_exit,550,0,4.6,0
2,4,restless_2,2026-01-02,Baseline,2026-01-03 00:40:00,0,false_positive,drinking_water,12,1,1.6,1
2,3,restless_1,2026-01-02,Baseline,2026-01-03 01:23:00,1,false_positive,blanket_adjustment,28,1,2.1,1
2,4,restless_2,2026-01-02,Baseline,2026-01-03 02:51:00,2,false_positive,drinking_water,11,1,3.4,1
2,3,restless_1,2026-01-02,Baseline,2026-01-02 23:01:00,23,false_positive,staff_passing,17,1,1.2,0
2,2,night_waker,2026-01-02,Baseline,2026-01-03 04:43:00,4,false_positive,turning_in_bed,16,1,2.9,1
2,3,restless_1,2026-01-02,Baseline,2026-01-02 22:37:00,22,false_positive,drinking_water,14,1,3.2,1
2,4,restless_2,2026-01-02,Baseline,2026-01-03 01:59:00,1,false_positive,turning_in_bed,17,1,3.4,1
2,4,restless_2,2026-01-02,Baseline,2026-01-03 00:18:00,0,false_positive,turning_in_bed,13,1,1.3,1
2,4,restless_2,2026-01-02,Baseline,2026-01-03 01:10:00,1,false_positive,drinking_water,13,1,1.4,1
2,4,restless_2,2026-01-02,Baseline,2026-01-03 03:25:00,3,false_positive,turning_in_bed,29,1,2.8,0
2,3,restless_1,2026-01-02,Baseline,2026-01-03 05:31:00,5,false_positive,staff_passing,20,1,2.2,0
2,4,restless_2,2026-01-02,Baseline,2026-01-03 02:55:00,2,false_positive,scratching,27,1,4.0,1
2,3,restless_1,2026-01-02,Baseline,2026-01-03 03:47:00,3,false_positive,blanket_adjustment,7,1,3.3,0
2,4,restless_2,2026-01-02,Baseline,2026-01-02 23:15:00,23,false_positive,drinking_water,29,1,1.6,0
3,2,night_waker,2026-01-03,Baseline,2026-01-04 03:47:00,3,actual,actual_bed_exit,164,0,4.8,1
3,3,restless_1,2026-01-03,Baseline,2026-01-04 00:53:00,0,false_positive,staff_passing,27,1,2.5,0
3,4,restless_2,2026-01-03,Baseline,2026-01-04 02:59:00,2,false_positive,blanket_adjustment,23,1,2.0,0
3,4,restless_2,2026-01-03,Baseline,2026-01-04 02:28:00,2,false_positive,turning_in_bed,11,1,4.1,1
3,3,restless_1,2026-01-03,Baseline,2026-01-04 04:30:00,4,false_positive,turning_in_bed,29,1,4.0,0
3,3,restless_1,2026-01-03,Baseline,2026-01-04 01:17:00,1,false_positive,scratching,18,1,4.3,1
3,4,restless_2,2026-01-03,Baseline,2026-01-04 02:21:00,2,false_positive,turning_in_bed,13,1,1.9,0
3,2,night_waker,2026-01-03,Baseline,2026-01-04 00:53:00,0,false_positive,scratching,13,1,2.0,1
3,4,restless_2,2026-01-03,Baseline,2026-01-04 03:57:00,3,false_positive,scratching,5,1,3.2,0
3,2,night_waker,2026-01-03,Baseline,2026-01-03 22:50:00,22,false_positive,drinking_water,13,1,2.3,0
3,3,restless_1,2026-01-03,Baseline,2026-01-04 02:21:00,2,false_positive,turning_in_bed,19,1,1.1,0
3,2,night_waker,2026-01-03,Baseline,2026-01-04 03:32:00,3,false_positive,drinking_water,25,1,2.0,1
3,2,night_waker,2026-01-03,Baseline,2026-01-04 01:29:00,1,false_positive,scratching,18,1,3.2,1
